Athlete,Country,Sex,Sport,Age,Gold,Silver,Bronze,Total
Torah Bright,Australia,Female,Snowboarding,27,0,1,0,1
David Morris,Australia,Male,Freestyle Skiing,29,0,1,0,1
Lydia Ierodiaconou-Lassila,Australia,Female,Freestyle Skiing,32,0,0,1,1
Anna Fenninger,Austria,Female,Alpine Skiing,24,1,1,0,2
Nicole Hosp,Austria,Female,Alpine Skiing,30,0,1,1,2
Dominik Landertinger,Austria,Male,Biathlon,26,0,1,1,2
Julia Dujmovits,Austria,Female,Snowboarding,26,1,0,0,1
Mario Matt,Austria,Male,Alpine Skiing,34,1,0,0,1
Matthias Mayer,Austria,Male,Alpine Skiing,23,1,0,0,1
Thomas Diethart,Austria,Male,Ski Jumping,21,0,1,0,1
Michael Hayböck,Austria,Male,Ski Jumping,22,0,1,0,1
Marcel Hirscher,Austria,Male,Alpine Skiing,24,0,1,0,1
Daniela Iraschko-Stolz,Austria,Female,Ski Jumping,30,0,1,0,1
Andreas Linger,Austria,Male,Luge,32,0,1,0,1
Wolfgang Linger,Austria,Male,Luge,31,0,1,0,1
Thomas Morgenstern,Austria,Male,Ski Jumping,27,0,1,0,1
Marlies Schild,Austria,Female,Alpine Skiing,32,0,1,0,1
Gregor Schlierenzauer,Austria,Male,Ski Jumping,24,0,1,0,1
Christoph Bieler,Austria,Male,Nordic Combined,36,0,0,1,1
Simon Eder,Austria,Male,Biathlon,30,0,0,1,1
Bernhard Gruber,Austria,Male,Nordic Combined,31,0,0,1,1
Benjamin Karl,Austria,Male,Snowboarding,28,0,0,1,1
Lukas Klapfer,Austria,Male,Nordic Combined,28,0,0,1,1
Daniel Mesotitsch,Austria,Male,Biathlon,37,0,0,1,1
Mario Stecher,Austria,Male,Nordic Combined,36,0,0,1,1
Christoph Sumann,Austria,Male,Biathlon,38,0,0,1,1
Kathrin Zettel,Austria,Female,Alpine Skiing,27,0,0,1,1
Darya Domracheva,Belarus,Female,Biathlon,27,3,0,0,3
Anton Kushnir,Belarus,Male,Freestyle Skiing,29,1,0,0,1
Alla Tsuper,Belarus,Female,Freestyle Skiing,34,1,0,0,1
Nadezhda Skardino,Belarus,Female,Biathlon,28,0,0,1,1
Patrick Chan,Canada,Male,Figure Skating,23,0,2,0,2
Scott Moir,Canada,Male,Figure Skating,26,0,2,0,2
Tessa Virtue,Canada,Female,Figure Skating,24,0,2,0,2
Denny Morrison,Canada,Male,Speed Skating,28,0,1,1,2
Meghan Agosta,Canada,Female,Ice Hockey,26,1,0,0,1
Gillian Apps,Canada,Female,Ice Hockey,30,1,0,0,1
Jamie Benn,Canada,Male,Ice Hockey,24,1,0,0,1
Patrice Bergeron,Canada,Male,Ice Hockey,28,1,0,0,1
Alexandre Bilodeau,Canada,Male,Freestyle Skiing,26,1,0,0,1
Jay Bouwmeester,Canada,Male,Ice Hockey,30,1,0,0,1
Jeff Carter,Canada,Male,Ice Hockey,29,1,0,0,1
Sidney Crosby,Canada,Male,Ice Hockey,26,1,0,0,1
Melodie Daoust,Canada,Female,Ice Hockey,22,1,0,0,1
Drew Doughty,Canada,Male,Ice Hockey,24,1,0,0,1
Matt Duchene,Canada,Male,Ice Hockey,23,1,0,0,1
Justine Dufour-Lapointe,Canada,Female,Freestyle Skiing,19,1,0,0,1
Laura Fortino,Canada,Female,Ice Hockey,23,1,0,0,1
Ryan Fry,Canada,Male,Curling,35,1,0,0,1
Ryan Getzlaf,Canada,Male,Ice Hockey,28,1,0,0,1
Charles Hamelin,Canada,Male,Short Track Speed Skating,29,1,0,0,1
Dan Hamhuis,Canada,Male,Ice Hockey,31,1,0,0,1
E.J. Harnden,Canada,Male,Curling,30,1,0,0,1
Ryan Harnden,Canada,Male,Curling,27,1,0,0,1
Jayna Hefford,Canada,Female,Ice Hockey,36,1,0,0,1
Dara Howell,Canada,Female,Freestyle Skiing,19,1,0,0,1
Kaillie Humphries,Canada,Female,Bobsleigh,28,1,0,0,1
Haley Irwin,Canada,Female,Ice Hockey,25,1,0,0,1
Brad Jacobs,Canada,Male,Curling,28,1,0,0,1
Brianne Jenner,Canada,Female,Ice Hockey,22,1,0,0,1
Rebecca Johnston,Canada,Female,Ice Hockey,24,1,0,0,1
Jennifer Jones,Canada,Female,Curling,39,1,0,0,1
Duncan Keith,Canada,Male,Ice Hockey,30,1,0,0,1
Chris Kunitz,Canada,Male,Ice Hockey,34,1,0,0,1
Charlie Labonté,Canada,Female,Ice Hockey,31,1,0,0,1
Jocelyne Larocque,Canada,Female,Ice Hockey,25,1,0,0,1
Kaitlyn Lawes,Canada,Female,Curling,25,1,0,0,1
Roberto Luongo,Canada,Male,Ice Hockey,34,1,0,0,1
Patrick Marleau,Canada,Male,Ice Hockey,34,1,0,0,1
Dawn McEwen,Canada,Female,Curling,33,1,0,0,1
Meaghan Mikkelson,Canada,Female,Ice Hockey,29,1,0,0,1
Heather Moyse,Canada,Female,Bobsleigh,35,1,0,0,1
Rick Nash,Canada,Male,Ice Hockey,29,1,0,0,1
Jill Officer,Canada,Female,Curling,38,1,0,0,1
Caroline Ouellette,Canada,Female,Ice Hockey,34,1,0,0,1
Corey Perry,Canada,Male,Ice Hockey,28,1,0,0,1
Alex Pietrangelo,Canada,Male,Ice Hockey,24,1,0,0,1
Marie-Philip Poulin,Canada,Female,Ice Hockey,22,1,0,0,1
Carey Price,Canada,Male,Ice Hockey,26,1,0,0,1
Lauriane Rougeau,Canada,Female,Ice Hockey,23,1,0,0,1
Patrick Sharp,Canada,Male,Ice Hockey,32,1,0,0,1
Natalie Spooner,Canada,Female,Ice Hockey,23,1,0,0,1
Martin St. Louis,Canada,Male,Ice Hockey,38,1,0,0,1
PK Subban,Canada,Male,Ice Hockey,24,1,0,0,1
Shannon Szabados,Canada,Female,Ice Hockey,27,1,0,0,1
John Tavares,Canada,Male,Ice Hockey,23,1,0,0,1
Marielle Thompson,Canada,Female,Freestyle Skiing,21,1,0,0,1
Jonathan Toews,Canada,Male,Ice Hockey,25,1,0,0,1
Marc-Édouard Vlasic,Canada,Male,Ice Hockey,26,1,0,0,1
Jennifer Wakefield,Canada,Female,Ice Hockey,24,1,0,0,1
Catherine Ward,Canada,Female,Ice Hockey,26,1,0,0,1
Tara Watchorn,Canada,Female,Ice Hockey,23,1,0,0,1
Shea Weber,Canada,Male,Ice Hockey,28,1,0,0,1
Hayley Wickenheiser,Canada,Female,Ice Hockey,35,1,0,0,1
Marie-Ève Drolet,Canada,Female,Short Track Speed Skating,32,0,1,0,1
Chloe Dufour-Lapointe,Canada,Female,Freestyle Skiing,22,0,1,0,1
Meagan Duhamel,Canada,Female,Figure Skating,28,0,1,0,1
Jessica Hewitt,Canada,Female,Short Track Speed Skating,27,0,1,0,1
Mikael Kingsbury,Canada,Male,Freestyle Skiing,21,0,1,0,1
Dominique Maltais,Canada,Female,Snowboarding,33,0,1,0,1
Valérie Maltais,Canada,Female,Short Track Speed Skating,23,0,1,0,1
Kirsten Moore-Towers,Canada,Female,Figure Skating,21,0,1,0,1
Dylan Moscovitch,Canada,Male,Figure Skating,29,0,1,0,1
Kaetlyn Osmond,Canada,Female,Figure Skating,18,0,1,0,1
Eric Radford,Canada,Male,Figure Skating,29,0,1,0,1
Kevin Reynolds,Canada,Male,Figure Skating,23,0,1,0,1
Mike Riddle,Canada,Male,Freestyle Skiing,27,0,1,0,1
Kelsey Serwa,Canada,Female,Freestyle Skiing,24,0,1,0,1
Marianne St-Gelais,Canada,Female,Short Track Speed Skating,23,0,1,0,1
Charle Cournoyer,Canada,Male,Short Track Speed Skating,22,0,0,1,1
Jan Hudec,Canada,Male,Alpine Skiing,32,0,0,1,1
Kim Lamarre,Canada,Female,Freestyle Skiing,25,0,0,1,1
Mark McMorris,Canada,Male,Snowboarding,20,0,0,1,1
Han Tianyu,China,Male,Short Track Speed Skating,17,0,1,1,2
Wu Dajing,China,Male,Short Track Speed Skating,19,0,1,1,2
Li Jianrou,China,Female,Short Track Speed Skating,27,1,0,0,1
Zhang Hong,China,Female,Speed Skating,25,1,0,0,1
Zhou Yang,China,Female,Short Track Speed Skating,22,1,0,0,1
Fan Kexin,China,Female,Short Track Speed Skating,20,0,1,0,1
Xu Mengtao,China,Female,Freestyle Skiing,23,0,1,0,1
Chen Dequan,China,Male,Short Track Speed Skating,18,0,0,1,1
Jia Zongyang,China,Male,Freestyle Skiing,22,0,0,1,1
Shi Jingnan,China,Male,Short Track Speed Skating,19,0,0,1,1
Ivica Kostelić,Croatia,Male,Alpine Skiing,34,0,1,0,1
Ondřej Moravec,Czech Republic,Male,Biathlon,29,0,2,1,3
Martina Sáblíková,Czech Republic,Female,Speed Skating,26,1,1,0,2
Gabriela Soukalová,Czech Republic,Female,Biathlon,24,0,2,0,2
Jaroslav Soukup,Czech Republic,Male,Biathlon,31,0,1,1,2
Eva Samková,Czech Republic,Female,Snowboarding,20,1,0,0,1
Veronika Vitková,Czech Republic,Female,Biathlon,25,0,1,0,1
Kerttu Niskanen,Finland,Female,Cross Country Skiing,25,0,2,0,2
Aino-Kaisa Saarinen,Finland,Female,Cross Country Skiing,35,0,2,0,2
Sami Jauhojärvi,Finland,Male,Cross Country Skiing,32,1,0,0,1
Iivo Niskanen,Finland,Male,Cross Country Skiing,22,1,0,0,1
Anne Kyllönen,Finland,Female,Cross Country Skiing,26,0,1,0,1
Krista Lähteenmäki,Finland,Female,Cross Country Skiing,23,0,1,0,1
Enni Rukajärvi,Finland,Female,Snowboarding,23,0,1,0,1
Juhamatti Aaltonen,Finland,Male,Ice Hockey,28,0,0,1,1
Aleksander Barkov,Finland,Male,Ice Hockey,18,0,0,1,1
Mikael Granlund,Finland,Male,Ice Hockey,21,0,0,1,1
Juuso Hietanen,Finland,Male,Ice Hockey,28,0,0,1,1
Jarkko Immonen,Finland,Male,Ice Hockey,31,0,0,1,1
Jussi Jokinen,Finland,Male,Ice Hockey,30,0,0,1,1
Olli Jokinen,Finland,Male,Ice Hockey,35,0,0,1,1
Leo Komarov,Finland,Male,Ice Hockey,27,0,0,1,1
Petri Kontiola,Finland,Male,Ice Hockey,29,0,0,1,1
Lauri Korpikoski,Finland,Male,Ice Hockey,27,0,0,1,1
Lasse Kukkonen,Finland,Male,Ice Hockey,32,0,0,1,1
Jori Lehterä,Finland,Male,Ice Hockey,26,0,0,1,1
Kari Lehtonen,Finland,Male,Ice Hockey,30,0,0,1,1
Sami Lepistö,Finland,Male,Ice Hockey,29,0,0,1,1
Olli Määttä,Finland,Male,Ice Hockey,19,0,0,1,1
Antti Pihlström,Finland,Male,Ice Hockey,29,0,0,1,1
Tuukka Rask,Finland,Male,Ice Hockey,26,0,0,1,1
Tuomo Ruutu,Finland,Male,Ice Hockey,30,0,0,1,1
Sakari Salminen,Finland,Male,Ice Hockey,25,0,0,1,1
Sami Salo,Finland,Male,Ice Hockey,39,0,0,1,1
Teemu Selänne,Finland,Male,Ice Hockey,43,0,0,1,1
Kimmo Timonen,Finland,Male,Ice Hockey,38,0,0,1,1
Ossi Väänänen,Finland,Male,Ice Hockey,33,0,0,1,1
Sami Vatanen,Finland,Male,Ice Hockey,22,0,0,1,1
Martin Fourcade,France,Male,Biathlon,25,2,1,0,3
Jean-Frederic Chapuis,France,Male,Freestyle Skiing,24,1,0,0,1
Pierre Vaultier,France,Male,Snowboarding,26,1,0,0,1
Arnaud Bovolenta,France,Male,Freestyle Skiing,25,0,1,0,1
Marie Martinod,France,Female,Freestyle Skiing,29,0,1,0,1
Steve Missillier,France,Male,Alpine Skiing,29,0,1,0,1
Jean-Guillaume Beatrix,France,Male,Biathlon,25,0,0,1,1
Robin Duvillard,France,Male,Cross Country Skiing,30,0,0,1,1
Jean-Marc Gaillard,France,Male,Cross Country Skiing,33,0,0,1,1
Maurice Manificat,France,Male,Cross Country Skiing,27,0,0,1,1
Coline Mattel,France,Female,Ski Jumping,18,0,0,1,1
Jonathan Midol,France,Male,Freestyle Skiing,26,0,0,1,1
Ivan Perrillat Boiteux,France,Male,Cross Country Skiing,28,0,0,1,1
Alexis Pinturault,France,Male,Alpine Skiing,22,0,0,1,1
Kevin Rolland,France,Male,Freestyle Skiing,24,0,0,1,1
Chloe Trespeuch,France,Female,Snowboarding,19,0,0,1,1
Tobias Arlt,Germany,Male,Luge,26,2,0,0,2
Natalie Geisenberger,Germany,Female,Luge,26,2,0,0,2
Felix Loch,Germany,Male,Luge,24,2,0,0,2
Tobias Wendl,Germany,Male,Luge,26,2,0,0,2
Eric Frenzel,Germany,Male,Nordic Combined,25,1,1,0,2
Maria Höfl-Riesch,Germany,Female,Alpine Skiing,29,1,1,0,2
Erik Lesser,Germany,Male,Biathlon Cross Country Skiing,25,0,2,0,2
Fabian Rießle,Germany,Male,Nordic Combined,23,0,1,1,2
Severin Freund,Germany,Male,Ski Jumping,25,1,0,0,1
Marinus Kraus,Germany,Male,Ski Jumping,22,1,0,0,1
Carina Vogt,Germany,Female,Ski Jumping,22,1,0,0,1
Andreas Wank,Germany,Male,Ski Jumping,25,1,0,0,1
Andreas Wellinger,Germany,Male,Ski Jumping,18,1,0,0,1
Daniel Böhm,Germany,Male,Biathlon,27,0,1,0,1
Tatjana Hüfner,Germany,Female,Luge,30,0,1,0,1
Anke Karstens,Germany,Female,Snowboarding,28,0,1,0,1
Björn Kircheisen,Germany,Male,Nordic Combined,30,0,1,0,1
Arnd Peiffer,Germany,Male,Biathlon Cross Country Skiing,26,0,1,0,1
Johannes Rydzek,Germany,Male,Nordic Combined,22,0,1,0,1
Simon Schempp,Germany,Male,Biathlon,25,0,1,0,1
Stefanie Böhler,Germany,Female,Cross Country Skiing,32,0,0,1,1
Nicole Fessel,Germany,Female,Cross Country Skiing,30,0,0,1,1
Denise Herrmann,Germany,Female,Cross Country Skiing,25,0,0,1,1
Amelie Kober,Germany,Female,Snowboarding,26,0,0,1,1
Claudia Künzel-Nystad,Germany,Female,Cross Country Skiing,36,0,0,1,1
Viktoria Rebensburg,Germany,Female,Alpine Skiing,24,0,0,1,1
Aljona Sawtchenko,Germany,Female,Figure Skating,30,0,0,1,1
Robin Szolkowy,Germany,Male,Figure Skating,34,0,0,1,1
Lizzy Yarnold,Great Britain,Female,Skeleton,25,1,0,0,1
Scott Andrews,Great Britain,Male,Curling,24,0,1,0,1
Greg Drummond,Great Britain,Male,Curling,25,0,1,0,1
Michael Goodfellow,Great Britain,Male,Curling,25,0,1,0,1
David Murdoch,Great Britain,Male,Curling,35,0,1,0,1
Vicki Adams,Great Britain,Female,Curling,24,0,0,1,1
Claire Hamilton,Great Britain,Female,Curling,25,0,0,1,1
Jenny Jones,Great Britain,Female,Snowboarding,33,0,0,1,1
Eve Muirhead,Great Britain,Female,Curling,23,0,0,1,1
Anna Sloan,Great Britain,Female,Curling,22,0,0,1,1
Arianna Fontana,Italy,Female,Short Track Speed Skating,23,0,1,2,3
Christof Innerhofer,Italy,Male,Alpine Skiing,29,0,1,1,2
Lukas Hofer,Italy,Male,Biathlon,24,0,0,1,1
Carolina Kostner,Italy,Female,Figure Skating,26,0,0,1,1
Karin Oberhofer,Italy,Female,Biathlon,28,0,0,1,1
Lucia Peretti,Italy,Female,Short Track Speed Skating,23,0,0,1,1
Martina Valcepina,Italy,Female,Short Track Speed Skating,21,0,0,1,1
Elena Viviani,Italy,Female,Short Track Speed Skating,21,0,0,1,1
Dorothea Wierer,Italy,Female,Biathlon,23,0,0,1,1
Dominik Windisch,Italy,Male,Biathlon,24,0,0,1,1
Armin Zöggeler,Italy,Male,Luge,40,0,0,1,1
Noriaki Kasai,Japan,Male,Ski Jumping,41,0,1,1,2
Yuzuru Hanyu,Japan,Male,Figure Skating,19,1,0,0,1
Ayumu Hirano,Japan,Male,Snowboarding,15,0,1,0,1
Tomoka Takeuchi,Japan,Female,Snowboarding,30,0,1,0,1
Akito Watabe,Japan,Male,Nordic Combined,25,0,1,0,1
Taku Hiraoka,Japan,Male,Snowboarding,18,0,0,1,1
Daiki Ito,Japan,Male,Ski Jumping,28,0,0,1,1
Ayana Onozuka,Japan,Female,Freestyle Skiing,25,0,0,1,1
Reruhi Shimizu,Japan,Male,Ski Jumping,20,0,0,1,1
Taku Takeuchi,Japan,Male,Ski Jumping,26,0,0,1,1
Denis Ten,Kazakhstan,Male,Figure Skating,20,0,0,1,1
Andris Šics,Latvia,Male,Luge,28,0,0,2,2
Juris Šics,Latvia,Male,Luge,30,0,0,2,2
Daumants Dreiškens,Latvia,Male,Bobsleigh,29,0,1,0,1
Martins Dukurs,Latvia,Male,Skeleton,29,0,1,0,1
Oskars Melbārdis,Latvia,Male,Bobsleigh,25,0,1,0,1
Jānis Strenga,Latvia,Male,Bobsleigh,28,0,1,0,1
Arvis Vilkaste,Latvia,Male,Bobsleigh,24,0,1,0,1
Mārtiņš Rubenis,Latvia,Male,Luge,35,0,0,1,1
Elīza Tīruma,Latvia,Female,Luge,23,0,0,1,1
Ireen Wüst,Netherlands,Female,Speed Skating,27,2,3,0,5
Sven Kramer,Netherlands,Male,Speed Skating,27,2,1,0,3
Jorien ter Mors,Netherlands,Female,Short Track Speed Skating Speed Skating,24,2,0,0,2
Jan Blokhuijsen,Netherlands,Male,Speed Skating,24,1,1,0,2
Koen Verweij,Netherlands,Male,Speed Skating,23,1,1,0,2
Jorrit Bergsma,Netherlands,Male,Speed Skating,28,1,0,1,2
